motif,0,1,2,3,4,5,6,7,8,9
-2+2+2+2+2+2,1,2,0,1,0,2,3,3,2,1
-2+2+2+2+2-1,0,0,0,1,1,0,0,0,1,1
-2+2+2+2+2-2,1,0,0,0,1,0,0,0,0,0
-2+2+2+2-1-1,0,0,0,0,0,1,0,0,0,1
-2+2-1+1+1+1,0,1,1,0,1,0,0,1,0,2
-2+2-1+1+2+1,0,1,0,0,0,0,0,0,0,1
-2+2-1+1+2+2,0,0,0,1,1,0,0,0,0,1
-2+2-1+2+1+2,1,1,0,0,0,0,0,0,0,0
-2+2-1+2+2+2,0,0,1,0,0,0,1,0,0,1
-2+2-1-1+1+1,0,0,0,0,0,0,0,0,0,1
-2+2-2+1+1+1,1,0,1,0,0,1,0,1,0,0
-2+2-2+1+2+1,0,0,0,0,1,0,0,1,0,1
-2+2-2+1+2+2,0,0,0,1,0,0,0,0,0,0
-2-1+1+1+1+1,5,7,8,10,12,9,13,5,7,15
-2-1+1+1+1+2,1,0,3,5,3,1,0,0,5,4
-2-1+1+1+1-1,0,0,0,0,0,0,1,1,0,0
-2-1+1+1+1-2,0,0,0,0,1,0,0,0,1,1
-2-1+1+1+2+1,1,2,0,8,2,3,4,2,2,3
-2-1+1+1+2+2,3,1,4,1,5,2,3,3,3,8
-2-1+1+1+2-2,0,0,0,4,0,0,0,0,0,0
-2-1+1+1-1+1,0,0,0,2,2,0,1,1,0,1
-2-1+1+1-1-1,0,1,2,2,3,0,0,0,2,0
-2-1+1+1-1-2,0,0,0,5,1,0,0,0,0,2
-2-1+1+2+1+1,0,1,1,1,3,2,3,1,1,2
-2-1+1+2+1+2,0,2,1,1,1,0,3,2,2,7
-2-1+1+2+1-2,0,0,0,0,0,0,0,0,1,0
-2-1+1+2+2+1,0,1,0,0,0,0,1,0,0,3
-2-1+1+2+2+2,0,2,1,2,0,1,1,0,0,12
-2-1+1+2+2-1,0,0,0,1,0,0,0,0,0,0
-2-1+1+2-1+1,0,0,3,0,1,1,0,0,0,1
-2-1+1+2-1+2,0,0,0,0,0,0,0,0,0,1
-2-1+1+2-1-1,0,1,0,1,1,1,1,0,0,0
-2-1+1-1+1+1,0,0,0,0,1,0,1,0,0,0
-2-1+1-1+1-1,0,0,0,0,0,1,0,0,0,0
-2-1+1-1+2+1,0,0,1,1,1,0,1,0,0,1
-2-1+1-1+2+2,0,0,0,1,0,0,1,0,0,2
-2-1+1-1-1+1,0,0,0,1,0,0,0,0,0,0
-2-1+1-1-1-1,0,0,0,0,0,0,0,1,0,0
-2-1+1-2+1+1,0,0,0,0,0,1,0,0,0,1
-2-1+1-2+1+2,0,0,0,0,0,0,1,0,0,0
-2-1+1-2+1-1,0,0,0,0,0,0,1,0,0,0
-2-1+1-2+2+1,0,0,0,1,0,1,1,1,0,1
-2-1+1-2+2+2,0,0,0,1,0,1,3,1,0,1
-2-1+2+1+1+1,5,3,0,2,5,3,1,1,0,5
-2-1+2+1+1+2,0,1,2,0,1,1,1,0,0,0
-2-1+2+1+1-1,0,0,0,0,0,0,0,0,1,0
-2-1+2+1+1-2,1,1,0,0,0,1,0,0,0,0
-2-1+2+1+2+1,0,1,1,1,2,0,2,0,0,2
-2-1+2+1+2+2,0,4,1,2,1,1,1,5,1,4
-2-1+2+1+2-1,0,0,0,0,0,1,0,0,0,0
-2-1+2+1-1+1,0,0,0,0,0,0,1,0,0,0
-2-1+2+1-1-1,1,2,0,1,1,0,1,2,0,3
-2-1+2+1-1-2,1,0,0,3,0,1,2,1,1,2
-2-1+2+1-2+1,0,0,0,0,0,0,1,0,0,0
-2-1+2+2+1+1,1,1,4,4,3,5,4,3,3,12
-2-1+2+2+1+2,0,1,0,2,1,0,2,0,1,5
-2-1+2+2+1-1,0,0,2,0,0,0,0,0,0,1
-2-1+2+2+1-2,1,0,0,0,3,0,0,2,0,0
-2-1+2+2+2+1,0,2,2,0,0,0,3,4,0,2
-2-1+2+2+2+2,0,4,0,6,2,3,0,1,4,3
-2-1+2+2-1+1,0,1,0,0,0,0,1,2,1,1
-2-1+2+2-1-1,0,1,2,1,7,2,2,0,1,5
-2-1+2+2-1-2,0,2,0,4,4,1,0,0,1,2
-2-1+2+2-2+1,0,0,0,0,0,2,0,0,0,0
-2-1+2+2-2+2,0,0,0,0,0,1,0,0,0,0
-2-1+2-1+1+1,0,0,0,0,0,0,0,0,1,0
-2-1+2-1+1-2,0,0,0,0,0,0,0,0,1,0
-2-1+2-1+2+1,0,0,0,0,0,0,1,0,0,0
-2-1+2-2+1+1,0,0,0,0,0,1,0,0,0,0
-2-1-1+1+1+1,1,1,0,1,0,0,0,0,1,0
-2-1-1+1+1+2,0,0,0,0,0,0,0,2,0,1
-2-1-1+1+2+2,1,0,0,1,0,0,1,0,0,0
-2-1-1+1-1+1,0,0,0,0,0,0,0,0,0,2
-2-1-1+1-1-1,0,0,0,0,1,0,0,0,0,0
-2-1-1+1-1-2,0,1,0,0,0,0,1,0,0,0
-2-1-1+2+1+1,0,1,0,0,0,0,0,0,0,0
-2-1-1+2-1+1,0,0,0,0,0,0,1,0,0,0
-2-1-1+2-1-1,1,0,0,0,0,0,0,0,0,0
-2-1-1-1+1+1,1,0,0,1,1,1,1,0,1,0
-2-1-1-1+1+2,0,0,0,0,1,0,1,1,0,0
-2-1-1-1+1-2,0,0,0,0,1,0,0,0,0,0
-2-1-1-1+2+1,0,0,0,0,0,0,0,1,0,0
-2-1-1-1+2+2,1,0,0,4,4,3,1,0,2,0
-2-1-1-1-1+1,0,0,0,0,1,0,0,0,0,0
-2-1-1-1-1-1,1,0,0,1,0,0,0,0,0,0
-2-1-1-2+1+1,0,1,0,0,0,0,0,1,0,0
-2-1-1-2+1+2,0,1,0,0,0,0,0,1,0,0
-2-1-1-2+2+1,0,1,0,0,1,1,1,1,0,0
-2-1-1-2+2+2,0,1,0,1,0,0,0,0,1,1
-2-1-1-2-1-1,0,0,0,0,1,0,0,0,0,1
-2-1-1-2-2+1,0,0,0,0,0,0,0,0,0,1
-2-1-2+1+1+1,0,1,1,0,0,0,1,1,0,0
-2-1-2+1+1+2,0,0,0,0,0,0,0,0,1,1
-2-1-2+1+2+1,0,0,0,1,0,0,0,0,0,0
-2-1-2+1+2+2,0,0,1,1,2,0,0,1,0,2
-2-1-2+1-1-1,0,0,0,0,1,0,0,0,0,0
-2-1-2+1-1-2,0,0,0,0,0,0,0,0,0,1
