,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
14,0,0,0,0,0,0,2,7,5,8,11,22,19,30,26,21,13,9,17,6,13,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,2,4,4,7,14,23,19,19,12,20,14,12,9,4,6,4,3,2,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,1,1,0,2,3,7,10,17,11,19,17,15,12,4,7,4,4,4,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,3,1,3,3,4,10,14,9,10,12,11,8,10,5,6,2,4,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,1,0,2,6,3,3,6,7,3,6,9,7,7,10,8,13,5,5,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,1,0,1,3,3,1,4,10,5,7,8,4,4,4,2,11,3,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,1,1,0,0,0,0,4,5,3,9,3,3,7,2,7,5,6,2,4,1,1,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,2,0,1,3,6,3,4,4,10,6,4,2,2,5,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
22,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,2,3,3,1,1,3,4,3,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,4,1,2,2,5,6,4,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,3,1,2,3,3,2,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,3,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,1,1,2,1,2,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
