,+2+2,+2+1,+1+2,+1+1,+2+0,+0+2,+1+0,+0+1,+0+0,+0-1,-1+0,+0-2,-2+0,-1-1,-1-2,-2-1,-2-2,-1+1,+1-1,-2+1,+1-2,-1+2,+2-1,-2+2,+2-2
-1-2,0.011904761904761904,0.0,0.047619047619047616,0.023809523809523808,0.0,0.023809523809523808,0.047619047619047616,0.03571428571428571,0.2857142857142857,0.11904761904761904,0.10714285714285714,0.14285714285714285,0.023809523809523808,0.03571428571428571,0.047619047619047616,0.0,0.03571428571428571,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2-1,0.012345679012345678,0.012345679012345678,0.0,0.037037037037037035,0.0,0.0,0.07407407407407407,0.04938271604938271,0.345679012345679,0.012345679012345678,0.07407407407407407,0.037037037037037035,0.09876543209876543,0.04938271604938271,0.037037037037037035,0.07407407407407407,0.06172839506172839,0.012345679012345678,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0
-2-2,0.010101010101010102,0.010101010101010102,0.020202020202020204,0.030303030303030304,0.0,0.010101010101010102,0.020202020202020204,0.020202020202020204,0.25252525252525254,0.06060606060606061,0.04040404040404041,0.0707070707070707,0.12121212121212122,0.04040404040404041,0.06060606060606061,0.06060606060606061,0.12121212121212122,0.010101010101010102,0.010101010101010102,0.030303030303030304,0.0,0.0,0.0,0.0,0.0
-1+1,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.10416666666666667,0.006944444444444444,0.013888888888888888,0.027777777777777776,0.2986111111111111,0.2847222222222222,0.0,0.04861111111111111,0.013888888888888888,0.020833333333333332,0.006944444444444444,0.0,0.006944444444444444,0.006944444444444444,0.05555555555555555,0.0,0.027777777777777776,0.0,0.013888888888888888,0.0,0.0,0.0
+1-1,0.013452914798206279,0.017937219730941704,0.017937219730941704,0.13452914798206278,0.017937219730941704,0.013452914798206279,0.21524663677130046,0.05829596412556054,0.2600896860986547,0.08520179372197309,0.008968609865470852,0.04932735426008968,0.0,0.008968609865470852,0.0,0.0,0.004484304932735426,0.004484304932735426,0.08071748878923767,0.0,0.008968609865470852,0.0,0.0,0.0,0.0
-2+1,0.014492753623188406,0.0,0.043478260869565216,0.043478260869565216,0.0,0.014492753623188406,0.057971014492753624,0.13043478260869565,0.36231884057971014,0.014492753623188406,0.11594202898550725,0.028985507246376812,0.014492753623188406,0.0,0.0,0.0,0.0,0.07246376811594203,0.014492753623188406,0.07246376811594203,0.0,0.0,0.0,0.0,0.0
+1-2,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.06944444444444445,0.027777777777777776,0.013888888888888888,0.20833333333333334,0.0,0.3333333333333333,0.041666666666666664,0.027777777777777776,0.05555555555555555,0.0,0.027777777777777776,0.0,0.013888888888888888,0.0,0.0,0.013888888888888888,0.0,0.027777777777777776,0.0,0.013888888888888888,0.0,0.013888888888888888
-1+2,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.25925925925925924,0.0,0.07407407407407407,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.0,0.07407407407407407,0.0,0.037037037037037035,0.0,0.0,0.0
+2-1,0.25,0.07142857142857142,0.0,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.10714285714285714,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
-2+2,0.0625,0.0625,0.0,0.0,0.0625,0.25,0.0,0.0625,0.125,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0625,0.0,0.125,0.0,0.0,0.0,0.0,0.0
+2-2,0.17647058823529413,0.23529411764705882,0.0,0.0,0.058823529411764705,0.0,0.17647058823529413,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
