,motif
231,861168
232,888216
233,887722
234,821811
235,882816
236,886866
237,886722
238,861281
239,816111
240,821128
241,871181
242,871111
243,881612
244,888667
245,821281
246,888277
247,888266
248,821881
249,868281
250,886612
251,887622
252,871118
253,886121
254,882116
255,811116
256,886621
257,868622
258,888676
259,878622
260,812216
261,822122
262,888271
263,888267
264,887768
265,862118
266,862818
267,886128
268,861828
269,871811
270,881711
271,887668
272,868182
273,611111
274,888126
275,888716
276,886816
277,878168
278,887122
279,886628
280,816118
281,871868
282,816181
283,861218
284,882618
285,861821
286,887712
287,822111
288,862181
289,872268
290,868218
291,868161
292,861121
293,862111
294,878121
295,872218
296,868268
297,887112
298,868186
299,888172
300,871881
301,878178
302,886712
303,861211
304,878112
305,878611
306,861112
307,872281
308,887861
309,888617
310,868611
311,878618
312,861812
313,882217
314,822212
315,888766
316,888217
317,878681
318,887721
319,871168
320,886867
321,822181
322,887621
323,871822
324,888767
325,868686
326,612211
327,886218
328,871122
329,888127
330,886721
331,887168
332,888761
333,862222
334,888276
335,887728
336,871828
337,868211
338,868621
339,818171
340,888717
341,882718
342,872278
343,872211
344,816122
345,888671
346,821212
347,886728
348,887612
349,868128
350,887218
351,888262
352,887628
353,866811
354,821112
355,822822
356,888777
357,816611
358,887866
359,811216
360,887877
361,872118
362,817618
363,887128
364,866881
365,878781
366,812116
367,611122
368,828161
369,871821
370,818176
371,878281
372,872818
373,881712
374,868222
375,878722
376,611121
377,862212
378,878182
379,866822
380,817111
381,868212
382,871281
383,861222
384,816618
385,882611
386,887876
387,887121
388,882817
389,871218
390,887871
391,822821
392,861128
393,878218
394,872111
395,871121
396,862221
397,882117
398,861212
399,817711
400,812217
401,816112
402,861161
403,811161
404,878621
405,878686
406,878128
407,817181
408,611211
409,888272
410,811117
411,878186
412,862811
413,862261
414,871211
415,872178
416,888776
417,886211
418,882622
419,872181
420,876818
421,888226
422,872168
423,818166
424,868282
425,612111
426,828116
427,816121
428,871178
429,886817
430,887867
431,871112
432,817718
433,887816
434,871812
435,862121
436,878612
437,811611
438,878668
439,811166
440,878211
441,886212
442,882711
443,862266
444,818177
445,862122
446,822811
447,821812
448,817118
449,711111
450,816711
451,822881
452,712211
453,816622
454,871268
455,887211
456,761111
457,888771
458,861882
459,878278
460,888227
461,862881
462,862828
463,861182
464,872222
465,878222
466,886222
467,878268
468,888626
469,868166
470,828171
471,816681
472,811177
473,868682
474,878721
475,811261
476,817781
477,812261
478,872868
479,871222
480,876811
481,817611
482,811167
483,862228
484,817122
485,612221
486,871886
487,878187
488,862112
489,871186
490,871212
491,887222
492,878628
493,878282
494,876868
495,868286
496,711122
497,871128
498,861166
499,811622
500,872212
501,886862
502,882826
503,887212
504,811176
505,888662
506,611222
507,816218
508,861221
509,878711
510,866812
511,868171
512,612222
513,882612
514,868167
515,816781
516,876881
517,661111
518,818162
519,882722
520,817722
521,866821
522,872122
523,878212
524,872286
525,878678
526,812266
527,861282
528,868177
529,868176
530,826111
531,872221
532,611212
533,811217
534,866618
535,861228
536,771111
537,811171
538,872881
539,862822
540,878786
541,878161
542,828177
543,872811
544,612121
545,882621
546,886161
547,611112
548,887666
549,861261
550,882827
551,876822
552,826118
553,812276
554,861866
555,812277
556,872121
557,878171
558,862282
