motif,0,1,2,3,4,5,6,7,8,9
+2+2+2+2+1+1,2.4280108425688683e-05,1.64769226966864e-05,1.0987514392957135e-05,1.790792416152315e-05,1.1556955005935612e-05,1.526818625497026e-05,1.1610973143685659e-05,1.3485203451628939e-05,1.4407068019062567e-05,1.7413260197640504e-05
+2+2+2+2+2+1,3.5601732017442396e-05,3.22999992546154e-05,1.6591146733365273e-05,2.5564669121043645e-05,1.2114527396572857e-05,2.107122383527261e-05,2.155370301960039e-05,2.3617329288258252e-05,2.59622249626793e-05,2.5427317447690963e-05
+2+2+2+2+2+2,3.02819329803533e-05,2.3669230223017763e-05,1.3020204555654205e-05,1.7401693089819313e-05,1.1709020203382134e-05,1.656401018066884e-05,1.688262186984179e-05,1.764010397456326e-05,1.9373326960787206e-05,1.9441509254752038e-05
-1+1+1+1+1+1,3.682937794907834e-06,4.05384606029586e-06,1.7580023028731417e-06,2.974107546260028e-06,1.4699635753163717e-06,1.9155658032066007e-06,1.5347838063492537e-06,1.7494317991302408e-06,9.834176122227008e-07,2.028249057111536e-06
-1+1+1+1+1+2,1.2276459316359447e-06,6.538461387573968e-07,2.1975028785914271e-07,6.327888396297932e-07,1.520651974465212e-07,2.817008534127354e-07,4.671081149758599e-07,4.373579497825602e-07,1.9668352244454015e-07,9.893897839568467e-08
-1+1+1+1+1-1,4.092153105453149e-07,2.615384555029587e-07,1.6481271589435703e-07,1.2655776792595865e-07,5.06883991488404e-08,5.6340170682547085e-08,1.3345946142167424e-07,0.0,4.917088061113504e-08,1.48408467593527e-07
-1+1+1+1+2+1,2.1824816562416795e-06,1.3076922775147936e-06,6.043132916126424e-07,4.429521877408553e-07,7.096375880837657e-07,1.1268034136509416e-06,7.340270378192084e-07,1.0933948744564004e-06,6.883923285558905e-07,1.2367372299460585e-06
-1+1+1+1+2+2,3.410127587877624e-06,1.438461505266273e-06,7.691260075069995e-07,1.392135447185545e-06,8.110143863814464e-07,8.451025602382062e-07,1.0009459606625569e-06,4.373579497825602e-07,6.392214479447555e-07,9.893897839568469e-07
-1+1+1+2+1+1,1.3640510351510496e-06,1.5692307330177523e-06,7.141884355422138e-07,8.226254915187311e-07,6.082607897860848e-07,1.0704632429683946e-06,6.005675763975341e-07,9.476088911955471e-07,2.9502528366681023e-07,6.925728487697928e-07
-1+1+1+2+1+2,1.3640510351510496e-06,3.9230768325443807e-07,2.1975028785914271e-07,3.796733037778759e-07,2.027535965953616e-07,6.76082048190565e-07,4.0037838426502274e-07,1.457859832608534e-07,2.458544030556752e-07,2.96816935187054e-07
-1+1+1+2+2+1,4.092153105453149e-07,9.153845942603556e-07,2.1975028785914271e-07,3.163944198148966e-07,1.520651974465212e-07,1.6902051204764125e-07,6.672973071083712e-08,2.186789748912801e-07,9.834176122227008e-08,3.462864243848964e-07
-1+1+1+2+2+2,1.3640510351510496e-06,7.846153665088761e-07,1.6481271589435703e-07,5.695099556668139e-07,1.520651974465212e-07,3.9438119477782957e-07,4.0037838426502274e-07,7.289299163042671e-07,3.4419616427794527e-07,3.462864243848964e-07
