motif,0,1,2,3,4,5,6,7,8,9
-2+1+2+1+1+2,0.0,3.6987118248661806e-07,1.098751409114345e-07,1.7897970049892065e-07,0.0,0.0,1.334594569688172e-07,0.0,0.0,1.3992083817270302e-07
-2+1+2+1+1-1,2.72810188423857e-07,0.0,0.0,3.1000189555443086e-07,2.0275357604085008e-07,1.5935405799331065e-07,0.0,0.0,0.0,9.893897594845429e-08
-2+1+2+1+1-2,0.0,0.0,0.0,2.1920446333374757e-07,0.0,1.9516805976484332e-07,1.8874016777495876e-07,1.4578597794746506e-07,1.3907624562968888e-07,0.0
-2+1+2+1+2+1,4.7252104271825537e-07,3.6987118248661806e-07,1.098751409114345e-07,0.0,2.0275357604085008e-07,1.5935405799331065e-07,1.8874016777495876e-07,2.525087024300073e-07,1.9668350310233523e-07,2.423499767748794e-07
-2+1+2+1+2+2,5.456202652095814e-07,2.615384384023672e-07,1.098751409114345e-07,1.2655776392174144e-07,1.0137679572836696e-07,0.0,0.0,2.0617249970286393e-07,9.834175880449455e-08,3.12872443712327e-07
-2+1+2+1+2-1,0.0,0.0,0.0,0.0,0.0,1.9516805976484332e-07,1.334594569688172e-07,0.0,0.0,0.0
-2+1+2+1-1-1,0.0,0.0,0.0,0.0,0.0,1.126803381908793e-07,0.0,0.0,0.0,0.0
-2+1+2+2+1+1,7.217876183274317e-07,9.785863981739503e-07,2.4568825712029716e-07,4.735355974600171e-07,2.483213898253185e-07,3.737182977526867e-07,4.003782640378667e-07,3.8571335794190374e-07,2.9502521838686454e-07,3.12872443712327e-07
-2+1+2+2+1+2,6.100219598499625e-07,3.6987118248661806e-07,1.098751409114345e-07,1.2655776392174144e-07,1.4336843579542482e-07,1.9516805976484332e-07,1.8874016777495876e-07,2.525087024300073e-07,9.834175880449455e-08,2.7984163481452445e-07
-2+1+2+2+1-1,4.7252104271825537e-07,4.5299780420693086e-07,0.0,1.2655776392174144e-07,1.0137679572836696e-07,1.9516805976484332e-07,1.8874016777495876e-07,1.4578597794746506e-07,1.9668350310233523e-07,1.3992083817270302e-07
-2+1+2+2+1-2,4.7252104271825537e-07,2.615384384023672e-07,1.098751409114345e-07,1.2655776392174144e-07,1.0137679572836696e-07,1.5935405799331065e-07,1.8874016777495876e-07,1.4578597794746506e-07,1.3907624562968888e-07,9.893897594845429e-08
-2+1+2+2+2+1,6.682455303905844e-07,2.615384384023672e-07,1.9030931609226113e-07,2.1920446333374757e-07,1.0137679572836696e-07,1.5935405799331065e-07,2.669188872204904e-07,2.0617249970286393e-07,1.3907624562968888e-07,2.6176788648242947e-07
